Population,Area (sq. mi.),Pop. Density ,GDP ($ per capita),Literacy (%),Infant mortality ,Development Index
-0.16118077577300044,1284000,7.7,-0.850249150437563,-1.8796306037019364,93.82,-1.0993009573001609
-0.19922147682005908,43094,126.5,2.13034131361783,0.8248697442071382,4.56,1.1698982664845747
-0.01862628903448006,437072,61.3,-0.8203435604972079,-2.2453820793239254,50.25,-1.0993009573001609
-0.24528491442886605,102,92.5,-0.6309414908749589,0.6703268671837626,7.35,1.1698982664845747
-0.2163113138714768,176220,19.5,0.30610032725616804,0.7218411595248878,11.95,0.03529865459220697
-0.22800556551516613,25333,80.9,-0.3019800015310526,0.7733554518660131,10.09,0.03529865459220697
0.03483888796562456,9984670,3.3,2.000750423876291,0.6703268671837626,4.75,1.1698982664845747
-0.24496485390097797,1399,33.8,1.2232050854270582,0.7733554518660131,6.24,1.1698982664845747
-0.24152882758313524,28,16183.0,0.9640233059439806,0.5415411363309495,4.39,1.1698982664845747
0.12871189497213265,1219912,36.2,0.09676119767368226,0.12427536836783538,61.81,-1.0993009573001609
-0.24279321354718217,13940,21.8,0.6948729964807845,0.5982068579061869,25.21,0.03529865459220697
-0.13067645168794148,283560,47.8,-0.6409100208550772,0.438512551648699,23.66,0.03529865459220697
-0.005765116363331606,1285220,22.0,-0.46147648121294654,0.3560896839028989,31.94,0.03529865459220697
-0.2430403425690593,4167,65.9,0.7746212363217315,0.7218411595248878,8.44,1.1698982664845747
0.04845913242858626,582650,59.6,-0.8701862103977998,0.057306788324372006,61.47,-1.0993009573001609
0.09662884716914488,504782,80.0,1.2232050854270582,0.7166897302907755,4.42,1.1698982664845747
-0.24393871650032814,616,273.5,-0.4315708912725914,-0.8751019030499944,13.53,0.03529865459220697
-0.005895961326408231,147181,192.2,-0.8303120904773262,-1.9981134760865242,66.98,-1.0993009573001609
-0.24466675324849238,477,172.9,0.27619473731581295,0.6703268671837626,7.11,1.1698982664845747
-0.06372441488055809,527970,40.6,-0.8901232703580365,-1.740542014380898,61.5,-1.0993009573001609
-0.19159007302637363,20770,305.8,1.003897425864454,0.5879039994379625,7.03,1.1698982664845747
-0.15922679554120664,163610,62.2,-0.28204294157081583,-0.5041989981938926,24.77,0.03529865459220697
0.4523928562581862,357021,230.9,1.7814427643136868,0.7733554518660131,4.16,1.1698982664845747
-0.170330975004748,637657,13.9,-0.9200288602983916,-2.3793192394108513,116.7,-2.2339005691925284
-0.23315712032599709,36120,39.9,-0.8901232703580365,-2.142353494641675,107.17,-2.2339005691925284
0.1236782072951601,1138910,38.3,-0.34185412145152605,0.438512551648699,20.97,0.03529865459220697
-0.14900194231438688,110860,102.7,-0.6807841407755507,0.6703268671837626,6.33,1.1698982664845747
-0.19452652487727295,71740,83.7,-0.9200288602983916,-2.7090107103940526,143.64,-2.2339005691925284
-0.19736002605555483,462840,12.3,-0.7505638506363793,-0.9987362046686953,51.45,-1.0993009573001609
-0.2280598048835947,825418,2.5,-0.25213735163046075,0.0006410667491345423,48.98,0.03529865459220697
-0.17215184994704558,26338,328.4,-0.8402806204574447,-0.6999533090901683,91.23,-1.0993009573001609
-0.07381635752764812,7686850,2.6,1.921002184035344,0.8248697442071382,4.69,1.1698982664845747
-0.16926677607757173,1098580,8.2,-0.7306267906761426,0.16548680224073542,53.11,-1.0993009573001609
-0.24348768402473314,960,231.0,0.16654090753451087,0.6548725794814251,10.03,0.03529865459220697
-0.19028342657735786,406750,16.0,-0.50135060113342,0.5157839901603869,25.63,0.03529865459220697
-0.242325588413226,300,1196.7,-0.5810988409743669,0.6806297256519878,56.52,-1.0993009573001609
0.15007222514104543,603700,77.4,-0.4315708912725914,0.8094154565048008,20.34,0.03529865459220697
-0.23326947632689984,360,3968.8,-0.9100603303182733,0.7733554518660131,22.93,0.03529865459220697
-0.24350876347336542,19060,11.5,0.5254079868187722,0.3612411131370112,7.72,1.1698982664845747
-0.24498017671303599,262,173.4,2.5191139828424465,0.7218411595248878,8.19,1.1698982664845747
-0.1393318595404875,1267000,9.9,-0.8901232703580365,-3.4199079447015803,121.69,-2.2339005691925284
-0.18166988979024776,41290,182.2,2.2898377932997236,0.7733554518660131,4.39,1.1698982664845747
